iter	MultiClass	F1:use_weights=true;class=0	F1:use_weights=true;class=1	F1:use_weights=true;class=2	F1:use_weights=true;class=3	F1:use_weights=false;class=0	F1:use_weights=false;class=1	F1:use_weights=false;class=2	F1:use_weights=false;class=3
0	1.301466405	0.4748768056	0.1780058718	0.1704495903	0.462976457	0.7074741833	0.1885821245	0.03846539116	0.006462947857
1	1.261863307	0.4360938569	0.3298559851	0.3168064711	0.4908780716	0.5397114173	0.3312594125	0.04575220466	0.007709973753
2	1.225430851	0.4679843405	0.3287064544	0.3037110715	0.5616678572	0.5676688978	0.3353170207	0.04635726139	0.0087043379
3	1.18644752	0.4717404985	0.3384363158	0.3592695249	0.6301014546	0.5599986838	0.3316979624	0.04871649101	0.01059920313
4	1.16552219	0.4759206267	0.3534366793	0.3666229666	0.6384681605	0.5653808662	0.3485897336	0.0492336275	0.01151565003
5	1.141648277	0.4751138854	0.3716006162	0.399111796	0.6516414682	0.5683057425	0.3680078209	0.05305445734	0.01233715417
6	1.11912546	0.4834290317	0.3760320515	0.4119504818	0.6816793516	0.5823136056	0.3650368904	0.0538312518	0.01402032948
7	1.103475474	0.4860459268	0.3813270315	0.4242867902	0.7009824681	0.5806702157	0.3682243853	0.05451820649	0.01484742986
8	1.090458234	0.4832965131	0.3844573106	0.4363830131	0.711014727	0.579725406	0.3706107454	0.05538510579	0.01539110268
9	1.07933353	0.4882115171	0.3861071609	0.4554910843	0.7268206558	0.5825200362	0.3714679743	0.05767713429	0.01613427179
10	1.061949249	0.4893854933	0.388396354	0.4634681619	0.7435930749	0.5843169505	0.3724633252	0.0579766537	0.01719262527
11	1.04445479	0.491172184	0.3947524594	0.4632951983	0.7520956275	0.5846600064	0.3754192657	0.0581458285	0.0180222628
12	1.019681992	0.5003509739	0.4066084625	0.4743168487	0.7901534179	0.585022069	0.3827651686	0.05880572164	0.02035431587
13	0.9979216994	0.5023517688	0.4107528706	0.4811720917	0.8034916812	0.5944912012	0.3866922662	0.05921323502	0.02300492963
