iter	Passed	Remaining
0	111	111874
1	166	83174
2	227	75488
3	287	71643
4	356	70975
5	409	67784
6	460	65290
7	517	64166
8	575	63323
9	626	61992
10	671	60359
11	716	58976
12	783	59489
13	841	59290
14	896	58892
15	961	59143
16	1011	58460
17	1065	58127
18	1121	57880
19	1171	57427
20	1221	56951
21	1275	56689
22	1327	56410
23	1383	56258
24	1435	55966
25	1482	55528
26	1529	55136
27	1592	55283
28	1643	55016
29	1690	54659
30	1737	54324
31	1792	54226
32	1846	54118
33	1899	53975
34	1944	53623
35	2003	53646
36	2049	53337
37	2102	53233
38	2154	53098
39	2202	52866
40	2260	52865
41	2313	52759
42	2363	52595
43	2413	52439
44	2462	52264
45	2518	52237
46	2576	52239
47	2625	52077
48	2674	51905
49	2726	51808
50	2777	51677
51	2822	51449
52	2881	51480
53	2946	51620
54	3009	51711
55	3059	51582
56	3116	51564
57	3168	51461
58	3220	51369
59	3282	51420
60	3339	51412
61	3400	51440
62	3472	51649
63	3536	51727
64	3605	51864
65	3676	52027
66	3744	52138
67	3799	52071
68	3858	52063
69	3917	52049
70	3978	52059
71	4040	52075
72	4092	51971
73	4143	51845
74	4197	51771
75	4250	51681
76	4313	51704
77	4375	51725
78	4443	51803
79	4509	51859
80	4578	51942
81	4653	52093
82	4722	52173
83	4793	52275
84	4849	52201
85	4908	52169
86	4962	52077
87	5017	52002
88	5080	52006
89	5131	51881
90	5179	51739
91	5233	51652
92	5282	51518
93	5342	51494
94	5396	51407
95	5449	51315
96	5504	51242
97	5574	51310
98	5627	51215
99	5676	51089
100	5734	51042
101	5789	50972
102	5840	50867
103	5896	50796
104	5949	50713
105	6004	50641
106	6051	50502
107	6118	50536
108	6167	50414
109	6215	50286
110	6265	50181
111	6311	50044
112	6372	50019
113	6447	50106
114	6495	49988
115	6548	49904
116	6602	49828
117	6652	49726
118	6700	49606
119	6748	49489
120	6799	49394
121	6846	49270
122	6895	49164
123	6945	49067
124	7025	49175
125	7077	49095
126	7143	49105
127	7202	49069
128	7255	48988
129	7306	48899
130	7359	48821
131	7419	48785
132	7471	48703
133	7527	48649
134	7589	48629
135	7649	48593
136	7705	48539
137	7755	48445
138	7817	48423
139	7865	48317
140	7921	48261
141	7972	48174
142	8024	48093
143	8072	47983
144	8120	47885
145	8188	47897
146	8237	47798
147	8284	47691
148	8336	47616
149	8387	47527
150	8437	47439
151	8488	47355
152	8545	47308
153	8598	47235
154	8644	47128
155	8701	47075
156	8750	46986
157	8800	46897
158	8850	46814
159	8900	46729
160	8949	46635
161	9000	46560
162	9051	46476
163	9102	46401
164	9160	46360
165	9216	46306
166	9288	46330
167	9338	46246
168	9386	46154
169	9436	46073
170	9490	46008
171	9551	45980
172	9611	45944
173	9717	46131
174	9773	46076
175	9822	45985
176	9871	45901
177	9924	45828
178	9974	45749
179	10022	45658
180	10073	45582
181	10150	45620
182	10200	45538
183	10247	45446
184	10311	45427
185	10365	45364
186	10420	45305
187	10476	45251
188	10534	45204
189	10588	45140
190	10642	45075
191	10700	45032
192	10759	44989
193	10811	44917
194	10861	44836
195	10911	44759
196	10960	44677
197	11009	44594
198	11059	44513
199	11102	44408
200	11162	44373
201	11221	44331
202	11283	44299
203	11360	44327
204	11413	44262
205	11464	44189
206	11526	44155
207	11582	44100
208	11634	44033
209	11682	43947
210	11733	43876
211	11785	43804
212	11835	43728
213	11887	43660
214	11937	43586
215	11984	43500
216	12033	43421
217	12086	43355
218	12138	43290
219	12188	43215
220	12240	43147
221	12317	43167
222	12396	43193
223	12458	43158
224	12524	43139
225	12579	43082
226	12633	43019
227	12680	42936
228	12735	42878
229	12788	42814
230	12838	42739
231	12890	42671
232	12940	42598
233	12990	42524
234	13039	42449
235	13094	42391
236	13158	42363
237	13211	42298
238	13265	42239
239	13321	42185
240	13374	42120
241	13446	42116
242	13523	42128
243	13573	42054
244	13627	41993
245	13675	41915
246	13731	41861
247	13790	41815
248	13844	41756
249	13898	41694
250	13948	41622
251	13992	41534
252	14041	41457
253	14090	41384
254	14150	41341
255	14214	41310
256	14273	41266
257	14334	41226
258	14386	41160
259	14439	41096
260	14526	41130
261	14580	41069
262	14634	41008
263	14691	40957
264	14743	40892
265	14795	40826
266	14842	40747
267	14891	40674
268	14938	40594
269	14988	40525
270	15037	40452
271	15091	40390
272	15141	40322
273	15194	40259
274	15254	40215
275	15306	40151
276	15362	40096
277	15417	40040
278	15469	39977
279	15534	39946
280	15611	39944
281	15662	39879
282	15714	39813
283	15769	39755
284	15822	39695
285	15871	39623
286	15920	39551
287	15971	39486
288	16019	39411
289	16070	39344
290	16114	39262
291	16161	39185
292	16209	39113
293	16260	39047
294	16312	38983
295	16360	38911
296	16408	38839
297	16470	38800
298	16537	38772
299	16592	38716
300	16676	38728
301	16732	38672
302	16784	38609
303	16833	38540
304	16882	38470
305	16935	38409
306	16986	38344
307	17034	38272
308	17085	38206
309	17135	38140
310	17191	38086
311	17252	38043
312	17306	37986
313	17363	37933
314	17422	37887
315	17481	37839
316	17537	37786
317	17584	37712
318	17634	37645
319	17735	37687
320	17796	37644
321	17848	37581
322	17900	37519
323	17949	37451
324	17998	37382
325	18045	37308
326	18098	37248
327	18149	37184
328	18198	37116
329	18249	37051
330	18302	36991
331	18349	36920
332	18400	36856
333	18453	36797
334	18514	36753
335	18560	36678
336	18607	36608
337	18663	36553
338	18724	36509
339	18821	36536
340	18879	36484
341	18936	36432
342	18991	36377
343	19042	36314
344	19103	36268
345	19153	36202
346	19208	36148
347	19266	36097
348	19329	36055
349	19387	36004
350	19444	35953
351	19509	35915
352	19568	35865
353	19627	35818
354	19690	35775
355	19759	35744
356	19855	35762
357	19904	35695
358	19955	35630
359	20011	35576
360	20062	35512
361	20121	35462
362	20177	35407
363	20233	35352
364	20292	35303
365	20343	35240
366	20394	35175
367	20452	35125
368	20520	35091
369	20574	35031
370	20627	34971
371	20683	34917
372	20742	34867
373	20800	34815
374	20854	34757
375	20954	34775
376	21008	34716
377	21060	34655
378	21110	34590
379	21165	34533
380	21219	34474
381	21271	34413
382	21329	34361
383	21387	34309
384	21447	34259
385	21510	34215
386	21561	34153
387	21618	34099
388	21672	34040
389	21727	33983
390	21783	33928
391	21835	33867
392	21883	33799
393	21951	33763
394	22027	33737
395	22108	33721
396	22158	33656
397	22216	33604
398	22266	33539
399	22316	33474
400	22365	33409
401	22410	33337
402	22470	33288
403	22542	33256
404	22589	33186
405	22639	33123
406	22686	33054
407	22752	33013
408	22797	32942
409	22846	32877
410	22894	32809
411	22940	32740
412	22992	32679
413	23092	32686
414	23145	32627
415	23200	32569
416	23251	32506
417	23304	32447
418	23357	32388
419	23412	32330
420	23473	32283
421	23525	32222
422	23581	32166
423	23634	32107
424	23686	32046
425	23736	31982
426	23793	31929
427	23845	31867
428	23897	31807
429	23948	31745
430	23999	31683
431	24050	31622
432	24146	31619
433	24197	31556
434	24249	31496
435	24293	31424
436	24337	31354
437	24382	31285
438	24440	31232
439	24490	31169
440	24535	31101
441	24583	31035
442	24630	30968
443	24678	30903
444	24733	30847
445	24786	30788
446	24841	30731
447	24890	30668
448	24939	30605
449	24992	30546
450	25051	30495
451	25122	30457
452	25219	30452
453	25265	30385
454	25313	30320
455	25360	30255
456	25411	30193
457	25474	30146
458	25521	30081
459	25570	30017
460	25625	29961
461	25670	29893
462	25734	29847
463	25784	29785
464	25830	29718
465	25875	29651
466	25922	29586
467	25974	29526
468	26024	29465
469	26082	29412
470	26139	29357
471	26191	29298
472	26283	29284
473	26331	29219
474	26379	29156
475	26440	29106
476	26493	29048
477	26543	28987
478	26601	28933
479	26658	28880
480	26708	28818
481	26762	28761
482	26810	28697
483	26861	28637
484	26915	28580
485	26968	28522
486	27017	28459
487	27075	28406
488	27123	28343
489	27173	28282
490	27219	28217
491	27288	28175
492	27363	28140
493	27420	28086
494	27475	28030
495	27527	27971
496	27580	27912
497	27629	27851
498	27691	27802
499	27767	27767
500	27828	27717
501	27873	27651
502	27923	27590
503	27974	27530
504	28021	27466
505	28067	27401
506	28114	27338
507	28167	27280
508	28213	27215
509	28259	27151
510	28307	27089
511	28374	27044
512	28464	27022
513	28585	27028
514	28654	26984
515	28717	26936
516	28775	26883
517	28831	26827
518	28889	26774
519	28958	26730
520	29012	26673
521	29062	26612
522	29111	26550
523	29160	26488
524	29209	26427
525	29262	26369
526	29310	26307
527	29370	26255
528	29429	26202
529	29528	26185
530	29579	26125
531	29636	26071
532	29692	26015
533	29746	25958
534	29801	25902
535	29852	25842
536	29897	25777
537	29942	25712
538	29991	25651
539	30049	25598
540	30097	25535
541	30152	25479
542	30199	25416
543	30246	25353
544	30295	25292
545	30345	25232
546	30398	25174
547	30452	25117
548	30498	25054
549	30555	24999
550	30652	24978
551	30709	24923
552	30761	24865
553	30811	24805
554	30863	24746
555	30912	24685
556	30969	24631
557	31018	24570
558	31062	24505
559	31113	24446
560	31167	24389
561	31215	24328
562	31269	24271
563	31318	24210
564	31365	24148
565	31420	24092
566	31468	24031
567	31516	23970
568	31566	23910
569	31612	23847
570	31721	23833
571	31777	23777
572	31821	23713
573	31871	23653
574	31961	23623
575	32052	23594
576	32105	23536
577	32157	23478
578	32214	23423
579	32274	23371
580	32341	23323
581	32445	23303
582	32556	23286
583	32614	23232
584	32673	23178
585	32744	23133
586	32868	23125
587	32940	23080
588	32992	23022
589	33043	22962
590	33094	22902
591	33147	22845
592	33205	22790
593	33255	22730
594	33304	22669
595	33360	22613
596	33422	22561
597	33470	22500
598	33522	22441
599	33566	22377
600	33613	22316
601	33659	22253
602	33703	22189
603	33754	22130
604	33800	22068
605	33853	22010
606	33964	21990
607	34007	21925
608	34056	21865
609	34113	21809
610	34165	21751
611	34208	21687
612	34260	21629
613	34309	21569
614	34360	21510
615	34419	21456
616	34469	21396
617	34520	21337
618	34565	21275
619	34615	21215
620	34678	21164
621	34743	21114
622	34799	21058
623	34853	21001
624	34905	20943
625	34998	20909
626	35071	20864
627	35137	20813
628	35194	20758
629	35254	20704
630	35305	20646
631	35367	20593
632	35430	20541
633	35485	20485
634	35545	20431
635	35599	20374
636	35656	20319
637	35709	20261
638	35771	20209
639	35830	20154
640	35882	20096
641	35934	20038
642	35996	19985
643	36061	19934
644	36165	19904
645	36217	19846
646	36268	19788
647	36319	19729
648	36377	19674
649	36441	19622
650	36496	19565
651	36547	19506
652	36601	19449
653	36649	19389
654	36698	19329
655	36747	19270
656	36806	19215
657	36849	19152
658	36904	19096
659	36952	19036
660	37009	18980
661	37062	18923
662	37112	18863
663	37212	18830
664	37277	18778
665	37321	18716
666	37378	18661
667	37429	18602
668	37477	18542
669	37528	18484
670	37575	18423
671	37625	18364
672	37681	18308
673	37728	18248
674	37773	18187
675	37821	18127
676	37873	18069
677	37921	18010
678	37971	17950
679	38023	17893
680	38069	17832
681	38119	17774
682	38173	17717
683	38229	17661
684	38344	17633
685	38402	17577
686	38450	17518
687	38505	17461
688	38551	17401
689	38599	17341
690	38648	17282
691	38699	17224
692	38751	17166
693	38805	17110
694	38854	17051
695	38902	16991
696	38956	16935
697	39003	16875
698	39059	16819
699	39112	16762
700	39160	16703
701	39210	16645
702	39262	16587
703	39306	16526
704	39385	16480
705	39486	16443
706	39534	16384
707	39584	16325
708	39629	16265
709	39676	16206
710	39724	16146
711	39770	16087
712	39814	16026
713	39858	15965
714	39904	15906
715	39955	15848
716	40001	15788
717	40052	15730
718	40100	15672
719	40152	15614
720	40204	15557
721	40250	15498
722	40328	15450
723	40392	15398
724	40439	15339
725	40538	15299
726	40623	15254
727	40682	15199
728	40734	15142
729	40813	15095
730	40876	15042
731	40983	15005
732	41101	14971
733	41160	14916
734	41221	14862
735	41278	14806
736	41342	14753
737	41413	14702
738	41475	14648
739	41531	14592
740	41599	14540
741	41705	14501
742	41758	14444
743	41803	14384
744	41857	14327
745	41907	14268
746	41953	14208
747	42003	14150
748	42050	14091
749	42141	14047
750	42226	14000
751	42286	13945
752	42351	13892
753	42401	13833
754	42459	13778
755	42513	13721
756	42569	13665
757	42638	13612
758	42720	13564
759	42821	13522
760	42870	13463
761	42917	13404
762	42969	13347
763	43021	13289
764	43080	13233
765	43134	13176
766	43189	13120
767	43241	13062
768	43291	13004
769	43354	12949
770	43409	12893
771	43478	12840
772	43524	12781
773	43576	12723
774	43637	12669
775	43689	12611
776	43738	12552
777	43787	12494
778	43906	12456
779	43965	12400
780	44010	12341
781	44065	12284
782	44110	12224
783	44156	12165
784	44207	12107
785	44259	12050
786	44314	11993
787	44370	11937
788	44417	11878
789	44472	11821
790	44521	11763
791	44567	11704
792	44615	11646
793	44661	11587
794	44709	11528
795	44756	11470
796	44805	11412
797	44850	11353
798	44901	11295
799	44997	11249
800	45079	11199
801	45134	11142
802	45184	11085
803	45235	11027
804	45294	10972
805	45354	10916
806	45400	10857
807	45449	10799
808	45504	10743
809	45562	10687
810	45613	10630
